PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160331314;;;;;DISPOSAL REFNO:;D20160402002
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;359032;MODELLING CLAY 81359032 ART ATTACK 12S;587;32.50;19077.5;12.81;7521.82
2;359052;MODELLING CLAY 81359052 ART ATTACK 10S;250;52.50;13125;19.26;4815
3;359282;MODELLING CLAY 81359282 ART ATTACK LONG TRIANGULAR;755;59.50;44922.5;24.43;18440.88
4;359042;MODELLING CLAY #81359042 ART ATTACK 5S;214;29.50;6313;11.56;2473.84
5;359392;MODELLING CLAY 81359392 ART ATTACK RCTNGLR 6CN;221;32.50;7182.5;14.1;3114.1
6;359272;MODELLING CLAY 81359272 ART ATTACK TRIANGULAR 12S;373;35.50;13241.5;15.83;5902.72
7;359332;MODELLING CLAY 81359332 ART ATTACK SINGLE GREEN;64;21.75;1392;8.52;544.96
8;359692;MODELLING CLAY 81359692 ART ATTACK SINGLE BAR 120G BLUE;7;27.00;189;10.11;70.75
9;359262;MODELLING CLAY 81359262 ART ATTACK TRIANGULAR 6S;334;19.75;6596.5;8.52;2844.01
10;359582;MODELLING CLAY 81359582 AAMC ART ATTACK BAR NEON;1019;13.50;13756.5;5.64;5744.1
11;359012;MODELLING CLAY 81359012 ART ATTACK SINGLE WHITE;351;21.75;7634.25;16.34;2867.67
12;359382;MODELLING CLAY 81359382 ART ATTACK RCTNGLR 6C;84;32.50;2730;14.1;1183.98
13;359592;MODELLING CLAY 81359592 ART ATTACK BAR REG;892;13.50;12042;5.64;5028.2
14;359022;MODELLING CLAY 81359022 ART ATTACK;436;19.75;8611;8.86;3862.09
15;359092;MAGIC CLAY 81359092 ART ATTACK 15MG GREEN;1;32.50;32.5;13.59;13.58
16;359662;MODELLING CLAY 81359662 ART ATTACK SINGLE BAR 120G YELLOW;2;27.00;54;10.11;20.21
17;359602;MODELLING CLAY 81359602 ART ATTACK STICKS 120G 6C;8;32.50;260;11.93;95.42
18;359612;MODELLING CLAY 81359612 ART ATTACK STICKS 185G 10C;1;44.50;44.5;16.87;16.87
19;359742;MODELLING CLAY 81359742 ART ATTACK SINGLE BAR 120G WHITE;2;27.00;54;11.2;22.39
;;;5601;;157258.25;;64582.59
