PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160817709;;;;;DISPOSAL REFNO:;D20160819008
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;884535;GIFT WRAP ROLLWRAP HMK HWC FUCHSIA DOTS 11884535;1;139.50;139.5;47.85;47.84
2;884404;GIFT WRAP HMK HWC PINK FLORAL HOLO 11884404;19;89.50;1700.5;98.19;621.87
3;381033;GIFT BOX HMK EGGB VIOLET MINI 11381033;1;120.00;120;55.24;55.24
4;631043;GIFT WRAP ROLL HMK ERW GREEN AND PINK QUATREFOIL 11631043;14;79.50;1113;50.52;353.58
5;631044;GIFT WRAP ROLL HMK ERW FORMAL 11631044;1;79.50;79.5;27.05;27.05
6;631013;GIFT WRAP ROLL HMK ERW PAISLEY ON FUCHSIA 11631013;15;79.50;1192.5;25.26;378.82
;;;51;;4345;;1484.4
