PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160804663;;;;;DISPOSAL REFNO:;D20160809003
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;790299;CRAFT EASY ALBUM CE BLACK 12X12 41790299;5;310.00;1550;109.25;546.25
2;790080;SCRPBK ALBUM AAS 8X8 WINTER PAGE PR;1;150.00;150;73.5;73.5
3;790287;CRAFT EASY ALBUM AAS KRAFT 8 X 8;6;175.00;1050;82;246
4;209013;CARD HMK BTY FORMAL 11209013;2;99.50;199;30.88;61.75
5;982054;GIFT BAG IMPTD XPB WINTER SEASONS LRG 42982054;1;65.50;65.5;26.96;26.96
6;939142;GIFT BAG HMK PB RED WHITE FLOCKING 11939142;1;26.00;26;18.06;18.06
;;;16;;3040.5;;972.52
