PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160716586;;;;;DISPOSAL REFNO:;D20160720009
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;686734;PARTY POPPERS 80CM FORMAL OCCASSIONS 41-686734;29;132.50;3842.5;39.26;1138.54
2;686713;PARTY POPPERS 80CM BLACK 11686713;22;132.50;2915;39.26;863.72
3;686733;PARTY POPPERS 40CM FORMAL OCCASSIONS 41-686733;7;63.00;441;20.74;145.14
;;;58;;7198.5;;2147.4
