PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160714571;;;;;DISPOSAL REFNO:;D20160720025
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;36;29.75;1071;12.03;433.08
2;528133;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG HP 12528133;1;44.75;44.75;12.03;12.03
3;744987;EW 3in NW SALE;7;16.50;115.5;0;0
4;528075;GIFT WRAP ROLL HMK XRW 6IN LP 12528075;9;39.50;355.5;13.71;123.41
5;528084;GIFT WRAP ROLL HMK 3IN LP 12528084;87;21.75;1892.25;7.68;668.42
;;;140;;3479;;1236.94
