PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160816707;;;;;DISPOSAL REFNO:;D20160819015
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;901065;BALLOON HAND PUMP ASSORTED COLOR BIG;144;59.50;8568;21.32;3069.79
2;901024;BAL VASE LOVE WITH HEARTS 41901024;9;137.50;1237.5;45.83;412.47
3;901014;BAL VASE A TRUE LOVE STORY 41901014;10;137.50;1375;45.83;458.3
4;901044;BAL VASE I LOVE YOU FOREVER 41901044;24;137.50;3300;45.83;1099.92
5;901034;BAL VASE IM ALL YOURS 41901034;35;137.50;4812.5;45.83;1604.05
;;;222;;19293;;6644.53
