PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0220160305101;;;;;DISPOSAL REFNO:;D20160308006
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;528094;GIFT WRAP ROLL HMK SM 5IN LP WITH TAGS 12528094;32;39.50;1264;13.61;435.36
2;528083;GIFTWRAP ROLL HMK XRW 3IN LP;2;19.75;39.5;12.32;12.32
3;528085;GIFT WRAP ROLL HMK XRW 3IN LP 12528085;1;19.75;19.75;6.27;6.27
4;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;6;29.75;178.5;12.03;72.18
5;528133;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG HP 12528133;3;44.75;134.25;12.03;36.09
6;861085;CARD MUSIC IMPTD XMC YELLOW CANDLE 42861085;26;35.50;923;24.9;323.7
7;861065;CARD MUSIC IMPTD XMC STAR CANDLES 42861065;14;35.50;497;12.45;174.3
8;861064;CARD MUSIC IMPTD XMC HANGING STOCKING 42861064;6;32.50;195;11.28;67.68
9;861095;CARD MUSIC IMPTD XMC GOLD GIFT 42861095;16;35.50;568;37.35;199.2
10;861015;CARD MUSIC IMPTD XMC STAR WITH REINDR 42861015;24;35.50;852;24.9;298.8
11;861035;CARD MUSIC IMPTD XMC REINDR ORNAMENT 42861035;12;35.50;426;12.45;149.4
12;861105;CARD MUSIC IMPTD XMC RED GIFTS 42861105;34;35.50;1207;37.35;423.3
13;861055;CARD MUSIC IMPTD XMC ROUND CANDLES 42861055;8;35.50;284;12.45;99.6
14;861075;CARD MUSIC IMPTD XMC CMAS STOCKING 42861075;12;35.50;426;12.45;149.4
15;861025;CARD MUSIC IMPTD XMC CMAS BALLS 42861025;14;35.50;497;12.45;174.3
16;233032;CARD HMK BW FOR THE BRIDE TO BE 11233032;34;56.50;1921;32.36;550.19
17;242251;CARD HMK SC STACKS AND STACKS 11242251;32;59.50;1904;27.37;875.87
18;242261;CARD HMK SC HERES TO FEELING 11242261;8;59.50;476;27.37;218.97
19;242071;CARD HMK SC WILD SIDE 11242071;12;59.50;714;20.57;246.82
;;;296;;12526;;4513.75
