PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160408377;;;;;DISPOSAL REFNO:;D20160413001
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;528094;GIFT WRAP ROLL HMK SM 5IN LP WITH TAGS 12528094;50;39.50;1975;13.61;680.25
2;528082;GIFTWRAP ROLL HMK XRW 3IN LP;32;19.75;632;6.12;195.84
3;528075;GIFT WRAP ROLL HMK XRW 6IN LP 12528075;1;39.50;39.5;13.71;13.71
4;528042;GIFTWRAP ROLL HMK XRW 3-IN HP;7;37.00;259;8.4;58.8
5;831041;GIFT WRAP IMPTD XEW RED W REINDEER;1;35.50;35.5;15.48;15.48
6;528133;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG HP 12528133;34;44.75;1521.5;12.03;409.02
7;744997;EW 3in TDYE;3;39.50;118.5;0;0
8;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;49;29.75;1457.75;12.03;589.47
9;744132;GIFTWRAP IMPTD EW SLVRWPNK FLCKNG;29;49.50;1435.5;18.06;523.74
10;884351;GIFTWRAP HMK HWC DK BLUE FLOWERS;21;37.00;777;18.92;397.32
11;884242;GIFTWRAP HMK HWC GLD FLORAL PATTERN;17;26.00;442;8.52;144.76
12;528085;GIFT WRAP ROLL HMK XRW 3IN LP 12528085;73;19.75;1441.75;6.27;457.42
;;;317;;10135;;3485.81
