PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160812691;;;;;DISPOSAL REFNO:;D20160819029
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;901014;BAL VASE A TRUE LOVE STORY 41901014;256;137.50;35200;45.83;11732.48
2;901024;BAL VASE LOVE WITH HEARTS 41901024;168;137.50;23100;45.83;7699.44
3;901034;BAL VASE IM ALL YOURS 41901034;163;137.50;22412.5;45.83;7470.29
4;901044;BAL VASE I LOVE YOU FOREVER 41901044;127;137.50;17462.5;45.83;5820.41
;;;714;;98175;;32722.62
