PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160816706;;;;;DISPOSAL REFNO:;D20160819012
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;055015;CALENDAR 2016 HMK LXN PH FIESTA AND CELEBRATIONS 12055015;510;150.00;76500;54.41;27746.55
2;286015;PLANNER DATEBOOK HMK DB SPARKLE GOES 72286015;19;18.50;351.5;5.83;110.77
3;286025;PLANNER DATEBOOK HMK DB MILKSHAKES 72286025;37;18.50;684.5;5.83;215.71
4;286035;PLANNER DATEBOOK HMK DB TURN UP THE FUN 72286035;28;18.50;518;5.65;158.2
5;286045;PLANNER DATEBOOK HMK DB LIFE IS A DARING 72286045;25;18.50;462.5;5.83;145.75
6;284065;CALENDAR 2015 DESK HMK DC THE SECRET 12284065;12;56.50;678;17.39;208.68
7;284085;CALENDAR 2015 DESK HMK DC LOVE YOUR 12284085;12;56.50;678;17.39;208.68
8;284075;CALENDAR 2015 DESK HMK DC EVERYDAY 12284075;13;56.50;734.5;17.39;226.07
9;284086;DESK CALENDAR 2016 HMK DC GIRL AND COFFEE 12284086;1;56.50;56.5;16.44;16.44
;;;657;;80663.5;;29036.85
