PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160407353;;;;;DISPOSAL REFNO:;D20160411001
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;981062;GIFT BOX HMK XBX SANTA KRAFT BOX LARGE 12981062;35;139.50;4882.5;53.12;1859.2
2;981042;GIFT BOX HMK XBX SANTA KRAFT BOX MEDIUM 12981042;2;115.00;230;44.52;89.04
3;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;222;29.75;6604.5;12.03;2670.66
4;528133;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG HP 12528133;19;44.75;850.25;12.03;228.57
5;528084;GIFT WRAP ROLL HMK 3IN LP 12528084;5;21.75;108.75;6.41;32.04
6;528043;GIFTWRAP ROLL HMK XRW 3IN HP;1;37.00;37;9.35;9.35
7;528085;GIFT WRAP ROLL HMK XRW 3IN LP 12528085;8;19.75;158;6.27;50.13
8;528033;GIFTWRAP ROLL HMK XRW 6-IN HP;4;75.00;300;18.65;74.6
9;528064;GIFT WRAP ROLL HMK 10IN LP 12528064;4;65.50;262;23.93;95.71
10;528044;GIFT WRAP ROLL HMK 3IN HP 12528044;4;39.50;158;8.29;33.16
11;528074;GIFT WRAP ROLL HMK 6IN LP 12528074;2;42.50;85;14.01;28.02
;;;306;;13676;;5170.48
PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160407353;;;;;DISPOSAL REFNO:;D20160411002
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;981062;GIFT BOX HMK XBX SANTA KRAFT BOX LARGE 12981062;35;139.50;4882.5;53.12;1859.2
2;981042;GIFT BOX HMK XBX SANTA KRAFT BOX MEDIUM 12981042;2;115.00;230;44.52;89.04
3;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;222;29.75;6604.5;12.03;2670.66
4;528133;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG HP 12528133;19;44.75;850.25;12.03;228.57
5;528084;GIFT WRAP ROLL HMK 3IN LP 12528084;5;21.75;108.75;6.41;32.04
6;528043;GIFTWRAP ROLL HMK XRW 3IN HP;1;37.00;37;9.35;9.35
7;528085;GIFT WRAP ROLL HMK XRW 3IN LP 12528085;8;19.75;158;6.27;50.13
8;528033;GIFTWRAP ROLL HMK XRW 6-IN HP;4;75.00;300;18.65;74.6
9;528064;GIFT WRAP ROLL HMK 10IN LP 12528064;4;65.50;262;23.93;95.71
10;528044;GIFT WRAP ROLL HMK 3IN HP 12528044;4;39.50;158;8.29;33.16
11;528074;GIFT WRAP ROLL HMK 6IN LP 12528074;2;42.50;85;14.01;28.02
;;;306;;13676;;5170.48
