PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160408376;;;;;DISPOSAL REFNO:;D20160413002
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;263;29.75;7824.25;12.03;3163.89
2;260649;GIFTWRAP HMK ED ROLLWRAP 3IN;4;19.75;79;7.8;31.2
3;528085;GIFT WRAP ROLL HMK XRW 3IN LP 12528085;10;19.75;197.5;6.27;62.66
4;884152;GIFT WRAP HMK HWC PINK ETHNIC;2;56.50;113;17.2;34.4
5;631044;GIFT WRAP ROLL HMK ERW FORMAL 11631044;1;79.50;79.5;27.05;27.05
6;425973;XRW 013, 023, 033, 043;1;56.50;56.5;20.4;20.4
7;528133;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG HP 12528133;48;44.75;2148;12.03;577.44
8;528034;GIFT WRAP ROLL HMK 6IN HP 12528034;5;80.00;400;16.54;82.7
9;528043;GIFTWRAP ROLL HMK XRW 3IN HP;2;37.00;74;9.35;18.7
10;528032;GIFTWRAP ROLL HMK XRW 6IN HP;20;75.00;1500;16.8;336
11;884731;GIFTWRAP HMK HWC WHT WPNK FLOCKING;6;49.50;297;17.2;103.2
;;;362;;12768.75;;4457.64
