PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160812692;;;;;DISPOSAL REFNO:;D20160819030
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;871543;RIBBON HMK BS RED FLASHING BOW 11871543;56;75.00;4200;39.33;2202.26
2;871553;RIBBON HMK BS WHITE FLASHING BOW 11871553;100;75.00;7500;39.33;3932.6
3;871563;RIBBON HMK BS LT BLUE FLASHING BOW 11871563;40;75.00;3000;39.33;1573.04
4;871573;RIBBON HMK BS PINK FLASHING BOW 11871573;45;75.00;3375;39.33;1769.67
5;871583;RIBBON HMK BS RED IRIDESCENT FLASHING BOW 11871583;48;75.00;3600;39.33;1887.65
6;871593;RIBBON HMK BS LAVANDER IRIDESCENT FLASHING BOW 11871593;49;75.00;3675;39.33;1926.97
7;871603;RIBBON HMK BS LT BLUE IRIDESCENT FLASHING BOW 11871603;48;75.00;3600;39.33;1887.65
8;871613;RIBBON HMK BS CLEAR IRIDESCENT FLASHING BOW 11871613;42;75.00;3150;39.33;1651.69
;;;428;;32100;;16831.53
