PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0420160917006;;;;;DISPOSAL REFNO:;D20160921001
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;706478;BIC BU2 0.7 FASHION YLW BLK BX50 80946;8155;14.50;118247.5;34.09;39714.85
2;706570;BIC RS2 0.8 BLK TRANSLU BLK TUB50 112598;7238;3.50;25333;0.4;361.9
3;706488;BIC BU2 0.7 FASHION YLW BLU BX50 80946;7215;14.50;104617.5;38.96;35137.05
4;706413;BIC BU2 0.7 BLK BX50 39293;1064;14.50;15428;0;0
5;706580;BIC RS2 0.8 BLU TRANSLU BLU TUB50 112599;5651;3.50;19778.5;0.2;282.55
6;706518;BIC BU2 0.7 FASHION TURQ BLK BX50 81164;4019;14.50;58275.5;14.61;19572.53
7;706528;BIC BU2 0.7 FASHION TURQ BLU BX50 81164;3473;14.50;50358.5;14.61;16913.51
8;706423;BIC BU2 0.7 BLU BX50 39293;5966;14.50;86507;0;0
9;706640;BIC RS2 BP FINE 0.8 ASS TRANSLU TUB 716478;1943;7.00;13601;0.12;106.86
10;706590;BIC RS2 0.8 RED TRANSLU RED TUB50 112600;1004;7.00;7028;0.1;50.2
11;706508;BIC BU2 0.7 FASHION PRP BLU BX50 81163;1565;14.50;22692.5;9.74;7621.55
12;706498;BIC BU2 0.7 FASHION PRP BLK BX50 81163;2414;14.50;35003;14.61;11756.18
13;706393;BIC ROUND STIC GRIP RED BX12 112590;781;14.75;11519.75;0.66;257.73
14;710080;BIC FLIRT BLUEBICBICBIC;722;22.75;16425.5;7.86;5674.92
15;710070;BIC FLIRT BLACKBICBIC;166;22.75;3776.5;7.86;1304.76
;;;51376;;588591.75;;138754.59
