PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160910887;;;;;DISPOSAL REFNO:;D20160914006
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;686744;PARTY POPPER WINE SMALL 11686744;16;145.00;2320;41.59;665.38
2;284085;CALENDAR 2015 DESK HMK DC LOVE YOUR 12284085;1;56.50;56.5;17.39;17.39
3;185021;CARD HMK HE TAKE TWO PRAYERS...;1;46.50;46.5;3.7;3.7
4;373224;CARD HMK X A SISTER IS SOMEONE WHOS 12373224;1;46.50;46.5;2.07;2.06
5;981454;GIFT BOX HMK XBX FUN STRIPES REC SML 12981454;1;89.50;89.5;38.85;38.85
6;837190;SCRPBKACC SHELLS AAS SHM PASIO 15IN;1;19.75;19.75;5.38;5.38
7;837212;CRAFT EASY ACC SHELLS SHM LIGHT BROWN 8IN 41837212;1;19.75;19.75;7.3;7.3
8;994193;SCRPBK ACC FOAM WORD AAS JRNEY 3D 41994193;1;39.50;39.5;13.52;13.52
9;629165;GIFT BAG HMK HB SMALL PINK VICTORIAN 11629165;1;42.50;42.5;11.11;11.11
10;871583;RIBBON HMK BS RED IRIDESCENT FLASHING BOW 11871583;1;75.00;75;39.33;39.33
11;913341;CRAFT EASY ACC FABRIC FLORAL SWEET 4IN 41913341;1;29.50;29.5;9.96;9.96
12;981034;GIFT BOX HMK XBX SANTA WITH GIFTS MED 12981034;3;42.50;127.5;36.32;54.48
13;913371;CRAFT EASY ACC FABRIC FLORAL BEAUTY 4IN 41913371;1;29.50;29.5;9.96;9.96
14;852102;GIFT BOX HMK RGB 8X8 WHITE 11852102;4;52.50;210;53.25;71
15;884765;GIFT WRAP HMK HWC TURQUOISE FLOWER GARDEN 11884765;1;65.50;65.5;22.9;22.9
16;884785;GIFT WRAP HMK HWC BEIGE FLOWER GARDEN 11884785;1;65.50;65.5;22.9;22.9
17;884056;GIFT WRAP HMK HWC FLOWERS PURPLE BG 11884056;1;29.50;29.5;6.62;6.62
18;852062;GIFT BOX HMK RGB 6X6 WHITE 11852062;1;42.50;42.5;13.3;13.3
19;402043;PRINTED ENVELOPES HMK PFFPE CROCO 11402043;1;39.50;39.5;12.15;12.15
20;758325;GIFT BAG HMK XHB BIG MITTENS ON GREEN 12758325;1;49.50;49.5;13.86;13.86
21;898355;CARD HMK HXC FELT ORNAMENT 12898195;1;24.50;24.5;7.52;7.52
22;898285;CARD HMK HXC FLITTERS XMAS TREE 12898285;1;24.50;24.5;7.52;7.52
23;898375;CARD HMK HXC WHITE BORDER ORNAMENTS 12898375;1;24.50;24.5;7.52;7.52
24;898335;CARD HMK HXC DIECUT REINDEER 12898335;2;24.50;49;15.04;15.04
25;898245;CARD HMK HXC FELT SLED 12898245;1;24.50;24.5;7.52;7.52
26;675185;CARD  HMK THK THE WONDERFUL MEMORIE;1;4.50;4.5;0.75;0.75
;;;47;;3595.5;;1087.02
