PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160729648;;;;;DISPOSAL REFNO:;D20160809014
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;686713;PARTY POPPERS 80CM BLACK 11686713;14;132.50;1855;39.26;549.64
2;686734;PARTY POPPERS 80CM FORMAL OCCASSIONS 41-686734;8;132.50;1060;39.26;314.08
3;686720;PARTY POPPERS 80CM EVERYDAY OCCASSION 11686720;6;132.50;795;44.2;265.2
4;260649;GIFTWRAP HMK ED ROLLWRAP 3IN;13;19.75;256.75;7.8;101.4
5;686732;PARTY POPPERS 40CM EVERYDAY OCCASION 11686732;13;63.00;819;20.74;269.56
6;686733;PARTY POPPERS 40CM FORMAL OCCASSIONS 41-686733;10;63.00;630;20.74;207.35
;;;64;;5415.75;;1707.23
