PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160910885;;;;;DISPOSAL REFNO:;D20160914004
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;381013;GIFT BOX HMK EGGB VIOLET BIG 11381013;4;175.00;700;240.72;320.96
2;682012;HIGHLIGHTER 81682012 ART ATTACK 6s;16;49.50;792;20.47;327.52
3;981244;GIFT BOX HMK XBX RND RIBB DKBLUE TOP LRG 12981244;1;159.50;159.5;77.1;77.1
4;794055;PACKAGING CONTAINER 41794055 IPB BABY BOTTLE PURPLE;2;69.50;139;27.85;55.69
5;794025;PACKAGING CONTAINER 41794025 IPB BABY BOTTLE BLUE;1;69.50;69.5;27.85;27.84
6;981234;GIFT BOX HMK XBX RND RIBB YLGRN TOP LRG 12981234;1;159.50;159.5;77.1;77.1
7;981194;GIFT BOX HMK XBX RND RIBB YLGRN TOP MED 12981194;1;105.00;105;48.1;48.1
8;381083;GIFT BOX HMK EGGB PINK TINY 11381083;1;99.50;99.5;45.24;45.24
9;981055;GIFT BOX HMK KBX TIN ROUND SNOWFLAKES AND DOTS LRG 12981055;2;189.00;378;114.2;114.2
10;846324;GIFT BOX HMK KBX PINK HANDMADE LRG 11846324;1;37.00;37;15.35;15.34
11;381033;GIFT BOX HMK EGGB VIOLET MINI 11381033;1;120.00;120;55.24;55.24
;;;31;;2759;;1164.33
