PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160812690;;;;;DISPOSAL REFNO:;D20160819028
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;648025;GIFT WRAP CRAYOLA SERPENTINE 31648025;1;13.50;13.5;3;3
2;629144;GIFT BAG HMK HB TINY ANYDAY LOVE 11629144;1;24.50;24.5;5.9;5.9
3;260055;GIFT WRAP HMK EW FEMININE FLORAL 11260055;2;13.50;27;6.2;6.2
4;171022;GIFT WRAP HMK EW ADUEW BLUE AND YELLOW MATRYOSHKA 11171022;1;13.50;13.5;3.3;3.3
5;831042;GIFT WRAP IMPTD XEW STCKINGS 42831042;3;26.00;78;6.98;20.94
6;260181;GIFT WRAP HMK EW BIRTHDAY 11260181;1;13.50;13.5;3.5;3.5
7;260071;GIFT WRAP HMK EW BIRTHDAY 11260071;1;13.50;13.5;3.5;3.5
8;260381;GIFT WRAP HMK EW BIRTHDAY 11260381;1;13.50;13.5;3.5;3.5
9;260146;GIFT WRAP HMK EW BIRTHDAY 11260146;1;13.50;13.5;3.5;3.5
10;260111;GIFT WRAP HMK EW BIRTHDAY 11260111;1;13.50;13.5;3.5;3.5
11;884685;GIFT WRAP HMK HWC KRAFT RED 11884685;1;19.75;19.75;7;6.1
12;260371;GIFT WRAP HMK EW BIRTHDAY 11260371;1;13.50;13.5;3.5;3.5
13;260013;GIFT WRAP HMK EW WEDDING 11260013;1;13.50;13.5;3.18;3.18
14;260081;GIFT WRAP HMK EW BIRTHDAY 11260081;1;13.50;13.5;3.5;3.5
15;884745;GIFT WRAP HMK HWC ORANGE DAMASK 11884745;1;56.50;56.5;19.6;19.6
16;884645;GIFT WRAP HMK HWC CREAM WITH GOLD INK 11884645;1;32.50;32.5;10.91;10.9
17;648035;GIFT WRAP CRAYOLA DOTS 31648035;1;13.50;13.5;3;3
18;884635;GIFT WRAP HMK HWC VIOLET STARS MET 11884635;1;52.50;52.5;14.65;14.64
19;260232;GIFT WRAP HMK EW FEMININE ANYDAY 11260232;1;13.50;13.5;3.1;3.1
20;648015;GIFT WRAP CRAYOLA GEOMETRIC 31648015;1;13.50;13.5;3;3
21;648045;GIFT WRAP CRAYOLA BRUSH STROKES 31648045;1;13.50;13.5;3;3
22;260063;GIFT WRAP HMK EW WEDDING 11260063;1;13.50;13.5;3.55;3.55
23;884237;GIFT WRAP HMK HWC PINK CHEVRON 11884237 MM;1;19.75;19.75;6.75;6.75
24;260403;GIFTWRAP HMK EW WEDDING 11260403;3;13.50;40.5;10.65;10.65
25;884257;GIFT WRAP HMK HWC ORANGE CHEVRON 11884257 MM;1;19.75;19.75;6.75;6.75
26;884247;GIFT WRAP HMK HWC APPLE GREEN CHEVRON 11884247 MM;1;19.75;19.75;6.75;6.75
27;884317;GIFT WRAP HMK HWC GREEN BG YELLOW FLOWER 11884317;1;29.50;29.5;6.62;6.62
28;884367;GIFT WRAP HMK HWC BLACK AND YELLOW VICTORIAN PATTERN 11884367;1;29.50;29.5;6.62;6.62
29;884337;GIFT WRAP HMK HWC YELLOW BLUE CHECKERED 11884337;1;29.50;29.5;6.62;6.62
30;884475;GIFT WRAP HMK HWC YELLOW LEAVES 11884475;1;29.50;29.5;6.62;6.62
31;884485;GIFT WRAP HMK HWC YELGREEN BACKGROUND 11884485;1;29.50;29.5;6.62;6.62
32;884435;GIFT WRAP HMK HWC LAVENDER BG 11884435;1;29.50;29.5;6.62;6.62
33;884455;GIFT WRAP HMK HWC GREEN SWIRL 11884455;1;29.50;29.5;6.62;6.62
34;884425;GIFT WRAP HMK HWC BUTTERFLIES 11884425;1;29.50;29.5;6.62;6.62
35;884465;GIFT WRAP HMK HWC YELLOW CIRCLE 11884465;1;29.50;29.5;6.62;6.62
36;884695;GIFT WRAP HMK HWC KRAFT GREEN 11884695;1;19.75;19.75;7;6.1
37;884705;GIFT WRAP HMK HWC KRAFT SILVER 11884705;1;19.75;19.75;7.48;7.48
38;884925;GIFT WRAP HMK HWC RED SQUARES 11884925;1;56.50;56.5;18.78;18.78
39;884915;GIFT WRAP HMK HWC VIOLET SQUARES 11884915;1;56.50;56.5;18.78;18.78
40;884905;GIFT WRAP HMK HWC LT BLUE SQUARES 11884905;1;56.50;56.5;18.78;18.78
41;884605;GIFT WRAP HMK HWC LTBLUE STARS MET 11884605;1;52.50;52.5;14.65;14.64
42;884445;GIFT WRAP HMK HWC PURPLE FLOWERS 11884445;1;29.50;29.5;6.62;6.62
43;884625;GIFT WRAP HMK HWC GREEN STARS MET 11884625;1;52.50;52.5;14.65;14.64
44;884615;GIFT WRAP HMK HWC RED STARS MET 11884615;1;52.50;52.5;14.65;14.64
45;260241;GIFT WRAP HMK EW BIRTHDAY 11260241;1;13.50;13.5;3.5;3.5
46;260393;GIFT WRAP HMK EW WEDDING 11260393;2;13.50;27;6.36;6.36
47;260343;GIFT WRAP HMK EW WEDDING 11260343;1;13.50;13.5;3.55;3.55
48;884347;GIFT WRAP HMK HWC COLORFUL CIRCLES 11884347;1;29.50;29.5;6.62;6.62
49;884327;GIFT WRAP HMK HWC YELLOW FLOWERS 11884327;1;29.50;29.5;6.62;6.62
50;884357;GIFT WRAP HMK HWC RED BG YELLOW CIRCLES 11884357;1;29.50;29.5;6.62;6.62
51;884036;GIFT WRAP HMK HWC MAPLE LEAVES 11884036;1;29.50;29.5;6.62;6.62
52;884377;GIFT WRAP HMK HWC BLACK BG BAROQUE PATTERN 11884377;1;29.50;29.5;6.62;6.62
53;884026;GIFT WRAP HMK HWC GREEN AND PURPLE FLOWERS 11884026;1;29.50;29.5;6.62;6.62
54;884066;GIFT WRAP HMK HWC FLOWERS WHITE BG 11884066;1;29.50;29.5;6.62;6.62
55;884076;GIFT WRAP HMK HWC GREEN VINES 11884076;1;29.50;29.5;6.62;6.62
56;884046;GIFT WRAP HMK HWC VINTAGE VINES 11884046;1;29.50;29.5;6.62;6.62
57;884056;GIFT WRAP HMK HWC FLOWERS PURPLE BG 11884056;1;29.50;29.5;6.62;6.62
58;884675;GIFT WRAP HMK HWC DK BLUE WITH GOLD INK 11884675;1;32.50;32.5;10.91;10.9
