PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160412394;;;;;DISPOSAL REFNO:;D20160414002
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;981062;GIFT BOX HMK XBX SANTA KRAFT BOX LARGE 12981062;30;139.50;4185;53.12;1593.6
2;981042;GIFT BOX HMK XBX SANTA KRAFT BOX MEDIUM 12981042;5;115.00;575;44.52;222.6
3;981022;GIFT BOX HMK XBX SANTA KRAFT BOX SMALL 12981022;3;89.50;268.5;35.96;107.88
4;846323;GIFT BOX HMK KBX RED FLOWERS SQUARE LARGE 11846323;1;132.50;132.5;58.4;58.4
5;846283;GIFT BOX HMK KBX RED FLOWERS SQUARE SMALL 11846283;1;69.50;69.5;30.45;30.44
6;846054;GIFT BOX HMK KBX PINK GLITTERED LARGE 11846054;4;139.50;558;147.3;294.58
7;846232;GIFTBOX HMK REC GRAY FLOWERS MEDIUM 11846232;1;115.00;115;42.85;42.84
8;381063;GIFT BOX HMK EGGB PINK SMALL 11381063;5;145.00;725;65.24;326.2
9;381053;GIFT BOX HMK EGGB PINK BIG 11381053;28;175.00;4900;80.24;2246.72
10;381033;GIFT BOX HMK EGGB VIOLET MINI 11381033;1;120.00;120;55.24;55.24
11;381023;GIFT BOX HMK EGGB VIOLET SMALL 11381023;7;145.00;1015;65.24;456.68
12;381013;GIFT BOX HMK EGGB VIOLET BIG 11381013;16;175.00;2800;80.24;1283.84
13;846064;GIFT BOX HMK KBX BLUE GLITTERED LARGE 11846064;7;139.50;976.5;73.65;515.52
14;846044;GIFT BOX HMK KBX BLUE GLITTERED MED 11846044;4;125.00;500;63.65;254.58
15;846024;GIFT BOX HMK KBX BLUE GLITTERED SML 11846024;2;105.00;210;53.75;107.49
16;846574;GIFT BOX HMK KBX GREEN VICTORIAN SML 11846574;1;79.50;79.5;35.35;35.34
17;846454;GIFT BOX HMK KBX PAISLEY SQR LRG 11846454;1;105.00;105;47.85;47.84
18;846693;GIFT BOX HMK KBX DOTS AND STRIPES REC MED 11846693;1;125.00;125;63.65;63.64
19;846703;GIFT BOX HMK KBX GREEN AND PINK FLORAL REC LRG 11846703;1;145.00;145;73.75;73.74
20;846713;GIFT BOX HMK KBX DOTS AND STRIPES REC LRG 11846713;1;145.00;145;73.75;73.74
;;;120;;17749.5;;7890.91
